Anon Student Id	Problem Name	Step Name	First Transaction Time	First Attempt	KC (Topics)	Opportunity (Topics)	KC (Skills)	Opportunity (Skills)
Stu_01	Decimals-P4	step-1	2024-03-01 09:02:54	correct	decimals	1	decimals-a	1
Stu_01	Decimals-P5	step-2	2024-03-01 09:04:36	incorrect	decimals	2	decimals-a	2
Stu_01	Fractions-P4	step-2	2024-03-01 09:09:19	correct	fractions	1	fractions-b	1
Stu_01	Fractions-P1	step-1	2024-03-01 09:13:37	correct	fractions	2	fractions-a	1
Stu_01	Fractions-P2	step-1	2024-03-01 09:16:14	incorrect	fractions	3	fractions-c	1
Stu_01	Percents-P4	step-2	2024-03-01 09:17:08	incorrect	percents	1	percents-b	1
Stu_01	Decimals-P2	step-1	2024-03-01 09:20:23	correct	decimals	3	decimals-c	1
Stu_01	Percents-P4	step-1	2024-03-01 09:24:48	correct	percents	2	percents-a	1
Stu_01	Decimals-P1	step-1	2024-03-01 09:25:47	incorrect	decimals	4	decimals-a	3
Stu_01	Ratios-P1	step-2	2024-03-01 09:26:32	incorrect	ratios	1	ratios-b	1
Stu_01	Ratios-P4	step-1	2024-03-01 09:28:02	correct	ratios	2	ratios-a	1
Stu_01	Ratios-P5	step-1	2024-03-01 09:29:12	incorrect	ratios	3	ratios-c	1
Stu_01	Fractions-P3	step-1	2024-03-01 09:32:17	correct	fractions	4	fractions-b	2
Stu_01	Percents-P2	step-1	2024-03-01 09:37:11	incorrect	percents	3	percents-c	1
Stu_01	Ratios-P5	step-2	2024-03-01 09:39:41	incorrect	ratios	4	ratios-a	2
Stu_01	Fractions-P4	step-1	2024-03-01 09:43:03	correct	fractions	5	fractions-a	2
Stu_01	Ratios-P3	step-1	2024-03-01 09:46:04	correct	ratios	5	ratios-b	2
Stu_01	Ratios-P1	step-1	2024-03-01 09:48:32	correct	ratios	6	ratios-a	3
Stu_01	Ratios-P2	step-1	2024-03-01 09:52:45	correct	ratios	7	ratios-c	2
